Kategori,Syntax,Keterangan
"1. DATA COLLECTIONS","items = [10, 20, 30]","Membuat list (Daftar urut)"
"1. DATA COLLECTIONS","items.append(40)","Menambah data ke posisi akhir"
"1. DATA COLLECTIONS","items.insert(0, 5)","Menambah data ke index tertentu"
"1. DATA COLLECTIONS","items.pop()","Menghapus & mengambil data terakhir"
"1. DATA COLLECTIONS","items.remove(20)","Menghapus data berdasarkan nilai"
"1. DATA COLLECTIONS","items.clear()","Mengosongkan semua isi list"
"1. DATA COLLECTIONS","items.sort()","Mengurutkan isi list"
"1. DATA COLLECTIONS","items.reverse()","Membalik urutan list"
"1. DATA COLLECTIONS","items[0] = 99","Mengubah isi index ke-0"
"1. DATA COLLECTIONS","len(items)","Menghitung jumlah isi list"

"1. DATA COLLECTIONS","user = {""nama"": ""Dimaz"", ""berat"": 110}","Membuat dictionary (Key:Value)"
"1. DATA COLLECTIONS","user[""tinggi""] = 181","Menambah key dan data baru"
"1. DATA COLLECTIONS","user[""berat""] = 112","Mengubah data pada key lama"
"1. DATA COLLECTIONS","user.update({""hobi"": ""basket"", ""umur"": 18})","Tambah banyak data sekaligus"
"1. DATA COLLECTIONS","user.pop(""umur"")","Menghapus key tertentu"
"1. DATA COLLECTIONS","user.get(""nama"")","Mengambil isi key dengan aman (no error)"
"1. DATA COLLECTIONS","user.keys()","Melihat semua label/key saja"
"1. DATA COLLECTIONS","user.values()","Melihat semua isi/value saja"
"1. DATA COLLECTIONS","user.items()","Melihat pasangan key dan value"
"1. DATA COLLECTIONS","koordinat = (10, 20)","Tuple: Urutan tetap dan tidak bisa diubah"
"2. MATH & BUILT-IN","max([5, 10, 2])","Mencari nilai tertinggi (Hasil: 10)"
"2. MATH & BUILT-IN","min([5, 10, 2])","Mencari nilai terendah (Hasil: 2)"
"2. MATH & BUILT-IN","sum([1, 2, 3])","Menjumlahkan semua angka (Hasil: 6)"
"2. MATH & BUILT-IN","abs(-10)","Mengubah angka jadi positif (Hasil: 10)"
"2. MATH & BUILT-IN","round(10.556, 2)","Membulatkan angka (Hasil: 10.56)"
"2. MATH & BUILT-IN","pow(2, 3)","Perpangkatan (Hasil: 8)"
"2. MATH & BUILT-IN","type(data)","Mengecek tipe data (int, str, list, dll)"
"3. STRING","teks = "" Belajar Python ""","Inisialisasi string"
"3. STRING","teks.upper()","Mengubah teks jadi HURUF BESAR"
"3. STRING","teks.lower()","Mengubah teks jadi huruf kecil"
"3. STRING","teks.strip()","Hapus spasi di ujung kiri & kanan"
"3. STRING","teks.replace(""Python"", ""Coding"")","Mengganti teks tertentu"
"3. STRING","teks.split("" "")","Memecah teks jadi List berdasarkan spasi"
"3. STRING","""-"".join([""A"", ""B""])","Menggabung List jadi teks (Hasil: A-B)"
"3. STRING","f""Hasilnya: {variabel}""","F-String: Masukkan variabel ke dalam teks"
"4. LOGIKA","if kondisi_a: #jalan... elif kondisi_b: #jalan... else: #jalan","Struktur percabangan lengkap"
"4. LOGIKA","==, !=, >, <, and, or","Operator pembanding dan logika"
"5. LOOPS","for i in range(5): print(i)","Perulangan For (0 sampai 4)"
"5. LOOPS","for item in items: print(item)","Mengulang setiap isi dalam List"
"5. LOOPS","while kondisi: break (stop) / continue (skip)","Perulangan While dengan kontrol"
"6. FUNGSI","def nama_fungsi(p1, p2): hasil = p1 + p2 return hasil","Struktur fungsi dengan return value"
"7. CASTING","int(""10"")","Mengubah teks jadi angka bulat"
"7. CASTING","float(""10.5"")","Mengubah teks jadi angka desimal"
"7. CASTING","str(100)","Mengubah angka jadi teks"
"7. CASTING","list(""ABC"")","Mengubah teks jadi list: ['A', 'B', 'C']"
"7. CASTING","bool(1)","Mengubah angka ke Boolean (True/False)"
"8. SHORTCUT","Alt + Bawah / Atas","Memindahkan baris kode ke atas/bawah"
"8. SHORTCUT","Shift + Alt + Bawah / Atas","Menduplikat baris kode ke atas/bawah"
"8. SHORTCUT","Ctrl + /","Memberi/menghapus komentar (#) otomatis"
"8. SHORTCUT","Ctrl + F / Ctrl + H","Mencari (Find) / Mengganti (Replace) teks"
"8. SHORTCUT","Ctrl + Z","Membatalkan perubahan terakhir (Undo)"
"8. SHORTCUT","Tab / Shift + Tab","Menjorokkan kode ke kanan / ke kiri"
"8. SHORTCUT","Ctrl + Space","Memunculkan IntelliSense / saran kode"
